Artista,Musica,Tempo,Data
Vitor Fernandes,Acaso,200890,2021-05-11 00:41
Israel & Rodolffo,Fulana - Ao Vivo,190778,2021-05-11 00:44
Diego & Victor Hugo,Foto Não é Fato - Ao Vivo,166759,2021-05-11 00:47
Jorge & Mateus,Hit do Ano,154848,2021-05-11 00:49
DJ Ivis,Esquema Preferido (feat. Tarcísio do Acordeon),190680,2021-05-11 00:53
Th CDM,Preta do Cabelo Cacheado,87286,2021-05-11 00:54
DJ Ivis,Esquema Preferido (feat. Tarcísio do Acordeon),190680,2021-05-11 00:57
Th CDM,Preta do Cabelo Cacheado,158531,2021-05-11 01:00
Os Barões Da Pisadinha,Esquema Preferido - Ao Vivo,201973,2021-05-11 01:04
Malu,Disco Arranhado - Funk Remix,376,2021-05-11 01:05
