Artista,Musica,Tempo,Data
RZO,"Pirituba, Pt. 1",0,2021-06-23 22:43
Emicida,Ooorra - Ao Vivo,1130,2021-06-23 22:43
Don L,kelefeeling (verso livre),136,2021-06-23 22:43
Rincon Sapiência,Transporte Público (Remistura),269,2021-06-23 22:43
Febem,CRIME,732,2021-06-23 22:43
BK,Castelos & Ruínas,249490,2021-06-23 22:43
Renan Inquérito,Tristeza,357,2021-06-23 22:43
Djonga,BENÇA,881,2021-06-23 22:43
Filipe Ret,Acende a Vela,10759,2021-06-23 22:46
Racionais MC's,Negro Drama (Ao Vivo),1662,2021-06-23 22:46
Lil Nas X,HOLIDAY,154997,2021-06-23 22:46
FBC,Levar a Sério,1990,2021-06-23 22:46
Outkast,Ms. Jackson,270506,2021-06-23 22:51
Febem,MÉXICO,26911,2021-06-23 22:51
Kayuá,Celebrar,240000,2021-06-23 22:55
Racionais MC's,Expresso da Meia-Noite,5644,2021-06-23 22:56
BK,"Amores, Vícios e Obsessões",22509,2021-06-23 22:56
MC Caverinha,Por um Fio,27549,2021-06-23 22:56
Rashid,E Se,845,2021-06-23 22:57
Kant,Role Play,704,2021-06-23 22:57
Criolo,Sistema Obtuso,368,2021-06-23 22:57
Renan Inquérito,Cidade Sem Cor,1741,2021-06-23 22:57
Parteum,Raciocínio Quebrado,3457,2021-06-23 22:57
Matuê,De Alta,36603,2021-06-23 22:57
Racionais MC's,Da Ponte pra Cá,2845,2021-06-23 22:57
Renan Inquérito,Mister M,79026,2021-06-23 22:58
Don L,Depois das Três,883,2021-06-23 22:59
Kamau,Só,133,2021-06-23 22:59
Kawe,Brilho,3644,2021-06-23 22:59
Rincon Sapiência,Linhas de Soco,936,2021-06-23 22:59
Sant,Ensaio Sobre a Lucidez,1543,2021-06-23 22:59
Eloy Polemico,Ouro de Tolo,1092,2021-06-23 22:59
MC Maneirinho,Vou Te Levar - Remix,3293,2021-06-23 22:59
Mano Brown,Mulher Elétrica,1416,2021-06-23 22:59
DaBaby,Red Light Green Light,5972,2021-06-28 15:01
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),130980,2021-06-28 15:04
Migos,Modern Day,241790,2021-06-28 15:08
Joyner Lucas,Ramen & OJ,218447,2021-06-28 15:11
Lil Tecca,NEVER LEFT,168727,2021-06-28 15:14
Big Sean,Freshman 10 (Freestyle) [10th Anniversary],45923,2021-06-28 15:15
"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),146419,2021-06-28 15:17
Lil Baby,Hats Off (feat. Travis Scott),12453,2021-06-28 15:18
Young Stoner Life,Solid (feat. Drake),215693,2021-06-28 15:21
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),236524,2021-06-28 15:25
DaBaby,Ball If I Want To,112546,2021-06-28 15:27
Ski Mask The Slump God,ADMIT IT,93920,2021-06-28 15:29
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),43817,2021-06-28 15:45
Criolo,Sucrilhos,4417,2021-06-29 14:20
Emicida,Ooorra - Ao Vivo,2966,2021-06-29 14:20
Don L,Eu Não Te Amo,174602,2021-06-29 14:23
Froid,Kyoto,2375,2021-06-29 14:23
Snoop Dogg,Drop It Like It's Hot,652,2021-06-29 14:23
Baco Exu do Blues,999,1981,2021-06-29 14:23
Black Alien,Que Nem o Meu Cachorro,1626,2021-06-29 14:23
Rincon Sapiência,Afro Rep,1095,2021-06-29 14:23
Pentagono,O Q?,1366,2021-06-29 14:23
Filipe Ret,War - Remix,1381,2021-06-29 14:23
Rashid,Diário de Bordo 6,4038,2021-06-29 14:23
JAY-Z,No Church In The Wild,1057,2021-06-29 14:23
Rincon Sapiência,Cotidiano,676,2021-06-29 14:23
Djonga,Vírgula,2111,2021-06-29 14:23
BK,Mudando o Jogo,881,2021-06-29 14:23
L7NNON,Hitmaker,2308,2021-06-29 14:23
509-E,Uh Barato É Louco,1261,2021-06-29 14:23
Hungria Hip Hop,Legacy,32560,2021-06-29 14:27
Kamau,Só,201280,2021-06-29 14:27
Filipe Ret,Libertários Não Morrem,1618,2021-06-29 14:30
Criolo,Subirusdoistiozin,181960,2021-06-29 14:30
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),5998,2021-06-29 14:30
MV Bill,Estilo Vagabundo,1430,2021-06-29 14:30
Baco Exu do Blues,Sinfonia do Adeus,1712,2021-06-29 14:30
Lil Nas X,HOLIDAY,1037,2021-06-29 14:30
Renan Inquérito,Tristeza,1786,2021-06-29 14:30
Sain,Rosas e Rimas,3324,2021-06-29 14:31
Felp 22,157,1393,2021-06-29 14:31
L7NNON,Gratidão,1160,2021-06-29 14:31
Lil Tecca,NEVER LEFT,1393,2021-06-29 14:31
MV Bill,Estilo Vagabundo 3,1495,2021-06-29 14:31
Matuê,Lama no Copo,2316,2021-06-29 14:31
Renan Inquérito,Meu Super Herói,1789,2021-06-29 14:31
Dexter,Eu Sô Função,720,2021-06-29 14:31
Black Alien,Aniversário de Sobriedade,4658,2021-06-29 14:31
Emicida,Triunfo (A Rua É Nóiz),811,2021-06-29 14:31
Djonga,BENÇA,960,2021-06-29 14:31
Rincon Sapiência,Linhas de Soco,223444,2021-06-29 14:35
Criolo,Sistema Obtuso,347,2021-06-29 14:35
Black Alien,Vai Baby,1697,2021-06-29 14:35
BK,Caminhos,141567,2021-06-29 14:37
Sabotage,Rap É Compromisso,392,2021-06-29 14:37
Renan Inquérito,Som pra Ladrão,1455,2021-06-29 14:37
Borges,Seu Lugar,1678,2021-06-29 14:37
Froid,Flow de Lázaro,1179,2021-06-29 14:37
Filipe Ret,Cobaia de Deus,1607,2021-06-29 14:37
Rincon Sapiência,Transporte Público (Remistura),1343,2021-06-29 14:37
Djonga,O Mundo é Nosso,205563,2021-06-29 14:41
Sain,Rosas e Rimas,2813,2021-06-29 14:41
Black Alien,Carta Pra Amy,1914,2021-06-29 14:41
Oriente,O Vagabundo e a Dama,1501,2021-06-29 14:41
Froid,Crystal - Acústico,1789,2021-06-29 14:41
Marcelo D2,Você Diz Que O Amor Não Dói,2315,2021-06-29 14:41
Sabotage,Mun Rá,1737,2021-06-29 14:41
Pirâmide Perdida,Dispiei,1690,2021-06-29 14:41
Djonga,Geminiano,1483,2021-06-29 14:41
Black Alien,Chuck Berry,15836,2021-06-29 14:41
Kayuá,Tudo Passa,2725,2021-06-29 14:42
Akira Presidente,Sem Colete,251,2021-06-29 14:42
Froid,Vem Tranquilo,8294,2021-06-29 14:42
Sabotage,Um Bom Lugar,1574,2021-06-29 14:42
Tasha & Tracie,Salve,6034,2021-06-29 14:42
509-E,Oitavo Anjo,9445,2021-06-29 14:42
Black Alien,From Hell do Céu,3201,2021-06-29 14:42
Sabotage,Monstro Invisível,2389,2021-06-29 14:42
Jean Tassy,Nômade IV,6752,2021-06-29 14:42
Djonga,Ricô,2366,2021-06-29 14:42
Marcelo D2,Qual E,2103,2021-06-29 14:46
Flora Matos,MEDITO E ME ACALMO,13425,2021-06-29 14:46
Ramonzin,Vivência,230000,2021-06-29 14:46
Haikaiss,Raplord,3343,2021-06-29 14:52
DV Tribo,Diáspora,315933,2021-06-29 14:52
Trilha Sonora do Gueto,Favela Sinistra,1751,2021-06-29 14:52
Costa Gold,Ciclone,740,2021-06-29 14:52
Rashid,Diário de Bordo 6,265763,2021-06-29 14:56
Trilha Sonora do Gueto,Reflexões,2388,2021-06-29 14:57
Djonga,Nós,1810,2021-06-29 14:57
Jovem Dex,Tapa,3720,2021-06-29 14:57
Nocivo Shomon,R.U.A 8 (Mensageiros),28533,2021-06-29 14:57
Sabotage,No Brooklin,8068,2021-06-29 15:00
CHS,Ponteiros,187242,2021-06-29 15:00
Haikaiss,No Toque da Meca,7358,2021-06-29 15:03
Um Barril de Rap,Resgate do Soldado Brownie,179928,2021-06-29 15:03
Djonga,Easy Money,756,2021-06-29 15:03
Djonga,Easy Money,191219,2021-06-29 15:07
Haikaiss,No Toque da Meca,156256,2021-06-29 15:09
DJ Matt D,Vizinha Chata,2133,2021-06-29 15:09
Jé Santiago,Jack Bauer,5281,2021-06-29 15:13
Instituto,Dama Tereza,12642,2021-06-29 15:13
Oriente,O Vagabundo e a Dama,1299,2021-06-29 15:13
Pineapple StormTv,Poesia Acústica 11: Nada Mudou,3283,2021-06-29 15:13
Gabriel O Pensador,Solitário Surfista / Surfista Solitário,2454,2021-06-29 15:13
Sabotage,O Gatilho,1844,2021-06-29 15:13
Pineapple StormTv,660,1760,2021-06-29 15:13
Dalsin,Vila dos Lençóis,4769,2021-06-29 15:13
Coruja Bc1,Passando a Limpo,209673,2021-06-29 15:13
Djonga,Geminiano,1416,2021-06-29 15:13
Marcelo D2,Ela Disse,1795,2021-06-29 15:13
Jean Tassy,Dose,3096,2021-06-29 15:14
Kayuá,Gorilla,16752,2021-06-29 15:14
Kamau,Contra,85311,2021-06-29 15:26
Kamau,Contra,12935,2021-07-04 20:23
Papatinho,Lance Criminoso (feat. BK),2906,2021-07-04 20:23
L7NNON,DA BOCA,6677,2021-07-04 20:24
Edi Rock,Foda-Se,58431,2021-07-04 20:24
Jé Santiago,Nintendo Switch,3237,2021-07-04 20:28
Dexter,Voz Ativa,2187,2021-07-04 20:28
Edi Rock,De Onde Eu Venho,5532,2021-07-04 20:28
Kamau,Pensei,127,2021-07-04 20:28
BaianaSystem,Reza Forte,2292,2021-07-04 20:28
Kayuá,Leões,209865,2021-07-04 20:28
Fabio Brazza,Filhos da Diversidade,3206,2021-07-04 20:29
Pineapple StormTv,Poesia Acústica Ep. Jeri,1968,2021-07-04 20:29
Sombra,Mano Eu Vo Ali Comprar um Chá,2059,2021-07-04 20:29
Kayuá,Gigante da Norte,72837,2021-07-04 20:29
ConeCrewDiretoria,Rainha da pista,2936,2021-07-04 20:29
Kamau,Lágrimas do Palhaço,1956,2021-07-04 20:29
L7NNON,Hip Hop Rare,1751,2021-07-04 20:29
Flora Matos,Preta de Quebrada,2034,2021-07-04 20:30
Mac Júlia,Jogo Sujo,7337,2021-07-04 20:30
Racionais MC's,Negro Drama,4505,2021-07-04 20:30
Black Alien,Na Segunda Vinda,2148,2021-07-04 20:30
ConeCrewDiretoria,Sem planta,256,2021-07-04 20:30
Kayuá,Contatos,2134,2021-07-04 20:30
Flora Matos,CONVERSAR COM O MAR,8310,2021-07-04 20:30
Fabio Brazza,Inquilino da Dor,2626,2021-07-04 20:30
Racionais MC's,Negro Drama,34087,2021-07-04 20:31
Black Alien,Sangue de Free,4637,2021-07-04 20:31
Costa Gold,Doce Veneno,2771,2021-07-04 20:31
Costa Gold,Doce Veneno,2678,2021-07-04 20:31
Flora Matos,CONVERSAR COM O MAR,1815,2021-07-04 20:31
Dfideliz,Baila Baby,307,2021-07-04 20:31
Dfideliz,Baila Baby,0,2021-07-04 20:31
Black Alien,Sangue de Free,1954,2021-07-04 20:34
Costa Gold,Doce Veneno,159036,2021-07-04 20:34
Tasha & Tracie,Agouro,2016,2021-07-04 20:34
Alaska,Me Perdoa Mãe,206291,2021-07-04 20:38
Thiago Elniño,Pedagoginga,296668,2021-07-04 20:42
509-E,Saudades Mil,12306,2021-07-04 20:43
De Leve,Pra falar de amor,2681,2021-07-04 20:43
Black Alien,Perícia Na Delícia,3232,2021-07-04 20:43
Budah,Lingerie,2636,2021-07-04 20:43
ZRM,Skatedrink,2247,2021-07-04 20:43
Don L,kelefeeling (verso livre),222,2021-07-04 20:43
Costa Gold,The Cypher Deffect 2,3480,2021-07-04 20:43
Cynthia Luz,Pra Te Envolver,2187,2021-07-04 20:43
DJ Caique,Flor da Pele,246187,2021-07-04 20:47
Mc Poze do Rodo,A Cara do Crime (Nós Incomoda),2374,2021-07-04 20:50
Dalsin,Wallpaper,23079,2021-07-04 20:50
Sain,Notas,13385,2021-07-04 20:50
Dalsin,Vila dos Lençóis,2749,2021-07-04 20:50
Murica,Kung Fu de Rua,143612,2021-07-04 20:50
Criolo,Sistema Obtuso,199130,2021-07-04 20:58
Djonga,Eu,310375,2021-07-04 21:04
Major RD,Corporação Cápsula,131681,2021-07-04 21:06
Racionais MC's,Você Me Deve,159902,2021-07-04 21:08
L7NNON,Mais Que Isso,289,2021-07-04 21:09
Edi Rock,Origens Parte 2,2553,2021-07-04 21:09
Marcelo D2,ROMPEU O COURO.,1360,2021-07-04 21:09
Salvador Da Rima,Estilo Coyote,44212,2021-07-04 21:09
Kyan,Preto e Dinheiro,2526,2021-07-04 21:09
Fabio Brazza,Só Uma Noite,3670,2021-07-04 21:09
Marcelo D2,ROMPEU O COURO.,270062,2021-07-04 21:14
Fabio Brazza,Prazeres Artificiais,9202,2021-07-04 21:15
Edi Rock,Origens Parte 2,39326,2021-07-04 21:15
Filipe Ret,Além do Dinheiro,11755,2021-07-04 21:15
Mc Poze do Rodo,Vida Louca,2119,2021-07-04 21:15
NP Vocal,Veja Bem,179029,2021-07-04 21:18
L7NNON,Inabalável,136791,2021-07-04 21:29
Sarah Beatriz,Basta Acreditar,298035,2021-07-04 21:34
Sarah Beatriz,Canta,97290,2021-07-04 21:36
Sarah Beatriz,O Maior Vilão Sou Eu,273072,2021-07-04 21:40
Sarah Beatriz,Basta Acreditar,38500,2021-07-04 21:41
Sarah Beatriz,Não Te Retires de Mim,252782,2021-07-04 21:45
Sarah Beatriz,Cansei de Ser Assim,299651,2021-07-04 21:50
Marcos Freire,Eu Não Sei Viver - Ao Vivo,179722,2021-07-04 21:53
Sarah Beatriz,Não Te Retires de Mim,252782,2021-07-04 21:57
Sarah Beatriz,Cansei de Ser Assim,299651,2021-07-04 22:02
Marcos Freire,Eu Não Sei Viver - Ao Vivo,43980,2021-07-04 22:03
Anderson Freire,Carta Para Deus,252633,2021-07-04 22:07
Anderson Freire,Canção do Céu,305760,2021-07-04 22:12
Anderson Freire,Coração Valente,240001,2021-07-04 22:16
Mc Poze do Rodo,A Cara do Crime (Nós Incomoda),293716,2021-07-06 15:06
L7NNON,Freio da Blazer,145017,2021-07-06 15:09
Tz da Coronel,Corte do Jaca,130950,2021-07-06 15:11
Filipe Ret,Corte Americano,112628,2021-07-06 15:13
DJ Matt D,Tipo Gringa,93619,2021-07-06 15:14
KayBlack,Vivências,134391,2021-07-06 15:17
Mc Poze do Rodo,Vida Louca,135962,2021-07-06 15:19
Tz da Coronel,Anota Placa,218340,2021-07-06 15:22
KayBlack,Melhor do Ano,124470,2021-07-06 15:24
NGC Daddy,Bag de Grife,40577,2021-07-06 15:28
Teto,Paypal,7094,2021-07-06 15:28
Sidoka,Culpado,192857,2021-07-06 15:28
Borges,Aonde Eu Sou Cria,25623,2021-07-06 15:29
L7NNON,Mais Que Isso,4424,2021-07-06 15:29
Jovem Dex,Money Rain,11092,2021-07-06 15:29
Filipe Ret,F* F* M*,172001,2021-07-06 15:32
KayBlack,A Cunhada,134000,2021-07-06 15:34
Kawe,Mds,110714,2021-07-06 15:36
VMZ,Plutão,7187,2021-07-06 15:37
Orochi,Lobo,47752,2021-07-06 15:37
KayBlack,Fio a Fio,8703,2021-07-06 15:37
Matuê,777-666,3239,2021-07-06 15:37
Teto,M4,3797,2021-07-06 15:37
MC Caverinha,Meu Corre,4907,2021-07-06 15:37
Borges,Contando Dinheiro,17613,2021-07-06 15:38
UCLÃ,Gatinha,10345,2021-07-06 15:38
Jovem Dex,Fogo,3332,2021-07-06 15:38
Chris Beats Zn,Minha Vez,8069,2021-07-06 15:38
Tz da Coronel,Floresta,37847,2021-07-06 15:38
DJ Matt D,Set 2.0: Homenagem aos Relíquias,5283,2021-07-06 15:38
Tropa do Bruxo,Oclin e Evoque,4308,2021-07-06 15:38
Jovem Dex,Chanel,3313,2021-07-06 15:39
Kawe,Brilho,4865,2021-07-06 15:39
Matuê,Máquina do Tempo,3495,2021-07-06 15:39
Jé Santiago,Tt,2729,2021-07-06 15:39
Abbot,Hylander,5608,2021-07-06 15:39
Sidoka,Me Equivoquei,6518,2021-07-06 15:39
Jovem Dex,Tapa,3820,2021-07-06 15:39
MC Cabelinho,OUTRO PATAMAR,3322,2021-07-06 15:39
Yunk Vino,30 Dias,8139,2021-07-06 15:39
Salvador Da Rima,Vergonha pra Midia,2287,2021-07-06 15:39
Orochi,Fiquei Rico Cedo,3286,2021-07-06 15:39
Tropa do Bruxo,Donas do Jogo,12784,2021-07-06 15:39
Kyan,Preto e Dinheiro,2984,2021-07-06 15:39
UCLÃ,21,4308,2021-07-06 15:39
KayBlack,Panamera,3116,2021-07-06 15:40
DJ Matt D,Vizinha Chata,871,2021-07-06 15:40
Mainstreet,Assault (Angra),14199,2021-07-06 15:40
DJ Matt D,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R. & MC Leozinho ZS)",6885,2021-07-06 15:40
Borges,Onda do Lança,3779,2021-07-06 15:40
Recayd Mob,Mlks de Sp,4365,2021-07-06 15:40
NGC Daddy,Glockada,3913,2021-07-06 15:41
Orochi,Mitsubishi,78844,2021-07-06 15:41
Sidoka,Qq cê tá insinuando,3913,2021-07-06 15:41
Borges,Ak do Flamengo,69700,2021-07-06 15:59
Mainstreet,Assault (Angra),9658,2021-07-10 18:22
Borges,Ak do Flamengo,5770,2021-07-10 18:22
NGC Daddy,Glockada,1313,2021-07-10 18:22
Sidoka,Culpado,4239,2021-07-10 18:22
Tz da Coronel,Corte do Jaca,136000,2021-07-10 18:24
Filipe Ret,Corte Americano,112628,2021-07-10 18:26
DJ Matt D,Tipo Gringa,93619,2021-07-10 18:28
KayBlack,Vivências,134391,2021-07-10 18:30
Mc Poze do Rodo,Vida Louca,135962,2021-07-10 18:32
Tz da Coronel,Anota Placa,218340,2021-07-10 18:36
NGC Daddy,Bag de Grife,41460,2021-07-10 18:38
DJ Matt D,Homenagem Aos Relíquias 4.0,4470,2021-07-10 18:38
KayBlack,Melhor do Ano,124471,2021-07-10 18:38
Borges,Aonde Eu Sou Cria,46,2021-07-10 18:39
MC Hariel,Gestão Inteligente,1800,2021-07-10 18:39
L7NNON,Mais Que Isso,523,2021-07-10 18:39
Jovem Dex,Money Rain,1092,2021-07-10 18:39
Teto,Paypal,2252,2021-07-10 18:39
Criolo,É o Teste,279720,2021-07-10 18:44
Racionais MC's,Você Me Deve,78550,2021-07-10 19:01
Don L,Depois das Três,517,2021-07-15 19:13
Rashid,E Se,0,2021-07-15 19:13
Criolo,Sistema Obtuso,0,2021-07-15 19:13
N.W.A.,Alwayz Into Somethin',0,2021-07-15 19:13
N.W.A.,Alwayz Into Somethin',2111,2021-07-15 19:13
Froid,Flow de Lázaro,6025,2021-07-15 19:13
Froid,Flow de Lázaro,0,2021-07-15 19:13
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),4821,2021-07-15 19:13
Rashid,Diário de Bordo 6,0,2021-07-15 19:13
PAPATRACKS,Jogando pra Tropa (Papatracks #5),2637,2021-07-15 19:13
Young Stoner Life,Solid (feat. Drake),0,2021-07-15 19:13
Young Stoner Life,Solid (feat. Drake),1906,2021-07-15 19:13
Djonga,Easy Money,0,2021-07-15 19:13
Rincon Sapiência,Cotidiano,0,2021-07-15 19:13
Racionais MC's,Você Me Deve,0,2021-07-15 19:13
Racionais MC's,Você Me Deve,8117,2021-07-15 19:13
Sest,Suíte 14 (feat. Djonga),0,2021-07-15 19:13
Djonga,BENÇA,0,2021-07-15 19:13
Don L,Eu Não Te Amo,0,2021-07-15 19:14
Sabotage,Um Bom Lugar,0,2021-07-15 19:14
Sant,Entre Becos e Vielas,0,2021-07-15 19:14
Lil Tecca,NEVER LEFT,45985,2021-07-15 19:14
"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),382,2021-07-15 19:14
Xaga,Rei do Blefe,390515,2021-07-15 19:21
Furamil 2Cão,SDDS Sant,326400,2021-07-15 19:26
Furamil 2Cão,Bugatti,66241,2021-07-15 19:28
BK,Castelos & Ruínas,91359,2021-07-15 19:29
Racionais MC's,"Vida Loka, Pt. 1",6797,2021-07-15 19:33
Baco Exu do Blues,En Tu Mira,17920,2021-07-15 19:33
Froid,Flow de Lázaro,118,2021-07-15 19:33
Froid,Flow de Lázaro,1033,2021-07-15 19:33
Rashid,Diário de Bordo 6,2219,2021-07-15 19:33
Rincon Sapiência,Cotidiano,2390,2021-07-15 19:33
Renan Inquérito,Versos Vegetarianos,212426,2021-07-15 19:33
Djonga,BENÇA,1070,2021-07-15 19:33
Djonga,BENÇA,83,2021-07-15 19:33
Froid,Flow de Lázaro,157846,2021-07-15 19:36
Criolo,Sistema Obtuso,2051,2021-07-15 19:40
N.W.A.,Alwayz Into Somethin',1337,2021-07-15 19:40
Rashid,Diário de Bordo 6,220537,2021-07-15 19:40
Young Stoner Life,Solid (feat. Drake),1362,2021-07-15 19:40
Young Stoner Life,Solid (feat. Drake),215693,2021-07-15 19:43
N.W.A.,Alwayz Into Somethin',28099,2021-07-15 19:44
Don L,Depois das Três,1751,2021-07-15 19:47
Rashid,E Se,891,2021-07-15 19:47
Sabotage,Um Bom Lugar,442,2021-07-15 19:47
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1042,2021-07-15 19:47
PAPATRACKS,Jogando pra Tropa (Papatracks #5),3458,2021-07-15 19:47
Djonga,Easy Money,1864,2021-07-15 19:47
Racionais MC's,Você Me Deve,156089,2021-07-15 19:47
"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),14495,2021-07-15 19:47
Sest,Suíte 14 (feat. Djonga),2220,2021-07-15 19:47
Don L,Eu Não Te Amo,255140,2021-07-15 19:51
Sant,Entre Becos e Vielas,1936,2021-07-15 19:51
Lil Tecca,NEVER LEFT,804,2021-07-15 19:51
Dexter,Eu Sô Função,177,2021-07-15 19:52
Um Barril de Rap,Resgate do Soldado Brownie,166660,2021-07-15 19:54
CHS,Ponteiros,10718,2021-07-15 19:54
Djonga,Xapralá,2655,2021-07-15 19:55
Baco Exu do Blues,Esú,1720,2021-07-15 19:55
Renan Inquérito,Meu Super Herói,2013,2021-07-15 19:55
Baco Exu do Blues,Esú,248000,2021-07-15 19:59
Djonga,Xapralá,228631,2021-07-15 20:03
Racionais MC's,Da Ponte pra Cá,86724,2021-07-15 20:04
Criolo,Lion Man,205440,2021-07-15 20:07
Black Alien,Chuck Berry,170627,2021-07-15 20:10
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),121572,2021-07-15 20:12
Filipe Ret,Não Desista Agora,114423,2021-07-15 20:14
Racionais MC's,"Vida Loka, Pt. 2 (Ao Vivo)",2486,2021-07-22 22:48
Filipe Ret,Não Desista Agora,37806,2021-07-22 22:48
Black Alien,Aniversário de Sobriedade,14592,2021-07-22 22:48
Rincon Sapiência,Cotidiano,172727,2021-07-22 22:51
Renan Inquérito,Versos Vegetarianos,212426,2021-07-22 22:54
Young Stoner Life,Solid (feat. Drake),215693,2021-07-22 22:58
N.W.A.,Alwayz Into Somethin',49632,2021-07-22 22:59
Um Barril de Rap,Resgate do Soldado Brownie,2077,2021-07-22 22:59
Baco Exu do Blues,Esú,248000,2021-07-22 23:03
Kamau,Só,201280,2021-07-22 23:06
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),32341,2021-07-22 23:07
Kant,Inferno de Kant,1524,2021-07-22 23:07
Racionais MC's,Diário de um Detento,330,2021-07-22 23:07
Sest,Suíte 14 (feat. Djonga),8347,2021-07-22 23:07
Criolo,Tô Pra Ver,0,2021-07-22 23:07
Emicida,Triunfo (A Rua É Nóiz),2586,2021-07-22 23:07
Marcelo D2,ROMPEU O COURO.,11816,2021-07-22 23:08
Rodrigo Ogi,Profissão Perigo,168698,2021-07-22 23:10
Black Alien,Babylon By Gus,1089,2021-07-22 23:11
Djonga,Eu,56603,2021-07-22 23:11
Filipe Ret,Jamais Serão,243716,2021-07-22 23:15
Sabotage,Canão Foi Tão Bom,1867,2021-07-22 23:19
Mc Marechal,Primeiro de Abril,229042,2021-07-22 23:19
BK,Castelos & Ruínas,2687,2021-07-22 23:19
Sabotage,Canão Foi Tão Bom,37618,2021-07-22 23:20
BK,Castelos & Ruínas,21545,2021-07-22 23:20
Sabotage,Canão Foi Tão Bom,9018,2021-07-22 23:21
Major RD,60K,8170,2021-07-22 23:25
Racionais MC's,"Vida Loka, Pt. 1",18552,2021-07-22 23:25
BK,Castelos & Ruínas,249490,2021-07-22 23:25
Alaska,Hannah,187758,2021-07-22 23:28
Tasha & Tracie,Salve,41543,2021-07-22 23:32
Big Bllakk,Sirenes,198019,2021-07-22 23:32
Yago Oproprio,Nômade V,79695,2021-07-22 23:34
Marcelo D2,4:20,96234,2021-07-22 23:35
Mac Júlia,"Sofa, Breja e Netflix",1919,2021-07-22 23:38
Black Alien,Sangue de Free,5292,2021-07-22 23:38
L7NNON,Faça valer,2717,2021-07-22 23:38
Febem,ESSE É MEU ESTILO (feat. Akira Presidente & BK),167416,2021-07-22 23:38
Costa Gold,O Pai Tá On,513,2021-07-22 23:38
Marcelo D2,Eu Tiro É Onda - Remix,2303,2021-07-22 23:39
KayBlack,Vivências,3430,2021-07-23 11:18
Filipe Ret,Asfalto do Catete,2126,2021-07-23 11:18
Pop Smoke,Good News,4597,2021-07-23 11:18
Don L,"Morra Bem, Viva Rápido",47370,2021-07-23 12:50
MC Maneirinho,Debochando da Mídia,2205,2021-07-23 14:54
MC Caverinha,212 Vip,849,2021-07-23 14:54
RZO,"Pirituba, Pt. 2",1275,2021-07-23 14:54
Costa Gold,04: 25,1319,2021-07-23 14:54
Black Alien,Real Gold,2263,2021-07-23 14:54
Nill,Control,5982,2021-07-23 14:54
Marcelo D2,Eu Tiro É Onda - Remix,48119,2021-07-23 14:54
Kamau,Nada... De Novo,7975,2021-07-23 14:54
Síntese,Se Escute,2261,2021-07-23 14:54
SNJ,Pensamentos,1520,2021-07-23 14:54
Instituto,Dama Tereza,20868,2021-07-23 14:55
Orochi,Fiquei Rico Cedo,1661,2021-07-23 14:55
Febem,YIN YANG,2419,2021-07-23 14:55
Froid,Fica Bem,264040,2021-07-23 14:59
Kyan,Versão Chave Djokovic,33266,2021-07-23 15:00
Fabio Brazza,Estopim,284700,2021-07-23 15:04
