Canal,Nome vídeo,Data
adsense,Watched Conheça os fatos sobre as vacinas contra a covid-19,2021-06-26 15:26:11.308
Camisa 21,Watched FALCÃO OU RONALDINHO: QUEM TEM MAIS HABILIDADE?- FALCÃO NO BTS,2021-06-25 15:48:11.800
MOV,Watched As mentiras que te contavam na infância!! | #FakeEmNóis @Canal do Pirulla e Gilmar,2021-06-24 16:22:20.262
Zeitgeist Brasil,Watched Augusto Nunes diz que Onyx fala a verdade por seu “tom de pele”,2021-06-24 15:51:59.146
Caue Moura,"Watched MEU, VC É CRINGE 🥵",2021-06-23 15:46:32.611
Dados Finos,Watched Tableau - Mapa de polígonos 3 - com labels (rótulos),2021-06-22 23:58:34.766
Tableau Software,Watched How to use custom shapes in Tableau,2021-06-22 22:51:08.054
Tableau Software,Watched How to plot geographic data using custom longitude and latitude values in Tableau,2021-06-22 22:25:39.265
Aline Santana,Watched 📸 COMO FAZER A MONTAGEM DO MEME DO ÔNIBUS | GIRL FROM RIO -ANITTA | ALINE SANTANA,2021-06-22 18:50:46.500
Camisa 21,Watched DIRETORIA JIM CARREY? A POLÊMICA CHUTEIRA DO JÔ,2021-06-22 17:24:00.719
dataminingincae,Watched Tutoriales Tableau 01: Leyendo Datos en Formato CSV y XLSX,2021-06-22 00:13:40.721
Helpfolder,Watched Tableau Desktop Import CSV Data,2021-06-21 23:57:45.026
Camisa 21,Watched “JÁ SAÍ NA MÃO COM UM TREINADOR” BTS COM LUGANO,2021-06-21 16:02:10.915
Programação Dinâmica,Watched Manipulando Dataframe do Pandas | Análise de dados #5,2021-06-21 14:43:21.730
Programação Dinâmica,Watched O poder do GROUPBY (pacote Pandas)| Análise de dados #4,2021-06-21 13:02:34.737
Programação Dinâmica,Watched O poder do GROUPBY (pacote Pandas)| Análise de dados #4,2021-06-21 00:07:20.534
FACE UFMG,Watched DemoPop Workshop,2021-06-20 23:09:43.732
Storytellers,Watched Cases e ideias de como aplicar Storytelling.,2021-06-20 23:04:08.706
UOL,Watched Bolsonaro x Coronavac: Sete vezes que o presidente criticou a vacina contra covid-19,2021-06-20 17:10:16.151
Base dos Dados,Watched Workshop: Aplicações em Python,2021-06-19 23:46:28.403
Base dos Dados,Watched Workshop: Aplicações no R,2021-06-19 23:46:18.118
adsense,Watched https://www.youtube.com/watch?v=q4fb25jL9js,2021-06-19 15:08:37.526
Código Quant - Finanças Quantitativas,Watched PYTHON ONLINE: 5 DICAS INCRÍVEIS PARA O GOOGLE COLAB: a poderosa ferramenta Python na nuvem,2021-06-18 22:41:58.004
adsense,Watched https://www.youtube.com/watch?v=q4fb25jL9js,2021-06-18 15:10:44.162
adsense,Watched Loki no Disney+,2021-06-18 15:10:11.789
MegaWhat,Watched #2 Do Apagão à Transição - O racionamento era inevitável: como dar a volta por cima,2021-06-18 14:34:35.992
U2VEVO,Watched U2 - Sweetest Thing,2021-06-18 02:42:24.510
adsense,Watched https://www.youtube.com/watch?v=q4fb25jL9js,2021-06-17 15:18:20.373
GoodCharlotteVEVO,Watched Good Charlotte - Predictable (Video),2021-06-17 14:33:58.464
GoodCharlotteVEVO,Watched Good Charlotte - Little Things (PCM Stereo),2021-06-16 21:51:55.352
Tese Onze,"Watched Bill Gates, o bom bilionário | 090",2021-06-16 16:00:25.663
Meteoro Brasil,Watched LIVE: CPI DA COVID OUVE WILSON WITZEL,2021-06-16 15:57:49.765
Programação Dinâmica,Watched Um candidato de 98 anos fez o ENEM! | Análise de Dados #3,2021-06-15 23:39:09.207
Rodrigo Moreira,Watched TRANYA M10 é o melhor fone de ouvido? É MELHOR que o Tranya T10?,2021-06-15 22:49:54.331
L Tech,Watched XIAOMI MI AIRDOTS (Earbuds Basic) - AINDA VALE A PENA EM 2020?,2021-06-15 22:46:57.759
TukEmperial,Watched TOP 7 MELHORES FONES SEM FIO para COMPRAR em 2021! MENOS de 200 REAIS!,2021-06-15 22:45:55.425
Importemaisbarato,Watched Unboxing - Fone Xiaomi - Bluetooth 5.0 Mi True Wireless Earbuds Basic 2,2021-06-15 22:42:31.374
GoodCharlotteVEVO,Watched Good Charlotte - I Just Wanna Live (Video),2021-06-15 20:52:23.601
Leticia Carvalho,Watched Good Charlotte - Hold On (Legendado),2021-06-15 20:47:09.360
Patricia Aparecida,Watched The Chronicles of Life and Death Tradução (By:PatySwan. ~),2021-06-15 20:44:04.512
GoodCharlotteVEVO,Watched Good Charlotte - The Chronicles of Life and Death (Video),2021-06-15 20:41:03.734
privitalino,Watched GAMEPLAY DE BATTLEFIELD 2042 TÁ INSANA! 🔥 REACT E ANÁLISE,2021-06-15 15:57:26.315
Camisa 21,Watched O CARA QUE MAIS COMBINA COM NEYMAR É O GABIGOL?,2021-06-15 15:40:37.521
adsense,Watched Loki no Disney+,2021-06-15 15:39:50.159
Caue Moura,Watched SÓ TEM DODÓI 🤪 - SHOW DE TALENTOS PÓS-APOCALÍPTICOS,2021-06-15 01:55:51.042
FACE UFMG,Watched DemoPop Workshop,2021-06-14 23:50:15.974
Programação Dinâmica,Watched Um candidato de 98 anos fez o ENEM! | Análise de Dados #3,2021-06-14 23:49:52.805
Programação Dinâmica,Watched Como abrir(importar) um dataset em Python? | Análise de dados #2,2021-06-14 23:32:43.803
Programação Dinâmica,Watched CONVERTENDO uma coluna de um DataFrame do Pandas | Dica de Pandas #1,2021-06-14 23:21:42.207
adsense,Watched Loki no Disney+,2021-06-14 16:08:07.821
Camisa 21,Watched ACORDAMOS O NETO E ELE FICOU PISTOLA,2021-06-14 15:51:43.633
Cortes Podpah [OFICIAL],Watched iPHONE DE OURO😱,2021-06-13 13:50:17.004
Pânico Jovem Pan,Watched Ed Gama fala sobre PYONG LEE FURA OLHO,2021-06-13 13:34:31.698
Desimpedidos,Watched MOMENTOS NUNCA FALADOS NOS 8 ANOS DO DESIMPEDIDOS,2021-06-12 15:26:59.033
privitalino,Watched TUDO QUE VOCÊ PRECISA SABER SOBRE O NOVO BATTLEFIELD 2042 🔥 REACT E NOVIDADES,2021-06-12 02:00:37.322
Camisa 21,Watched VALDIVIA OU ASSUNÇÃO: QUEM TINHA + MORAL? BTS COM MARCOS ASSUNÇÃO,2021-06-11 15:34:27.767
adsense,Watched https://www.youtube.com/watch?v=D3uIxO9GOPw,2021-06-10 15:50:31.150
Meteoro Brasil,Watched THE ECONOMIST QUER MESMO QUE BOLSONARO SEJA ELIMINADO?,2021-06-09 15:24:23.625
TODO MUNDO ODEIA PC SIQUEIRA,Watched TOUR PELO APARTAMENTO NOVO!,2021-06-09 15:18:36.310
Soluzione Contábil,Watched ABERTURA DE EMPRESA EI (EMPRESA INDIVIDUAL),2021-06-08 21:45:18.826
Thiago Ventura,Watched THIAGO VENTURA - POR TRÁS DA PIADA: TIGAS E BEACH PARK,2021-06-08 15:59:29.868
Marcelo Benedetti,Watched THIAGO VENTURA - TIGAS E O BEACH PARK - CONHEÇA OS PERSONAGENS REAIS,2021-06-08 15:58:09.021
privitalino,Watched BATTLEFIELD 4 GRÁTIS: SNIPER NO MOUSE E TECLADO!? 🖱️,2021-06-08 15:56:20.615
CAROL MOREIRA,Watched LUPIN | Resumão Parte 1,2021-06-08 15:54:10.390
São Paulo FC,"Watched BEM-VINDA, FORMIGA | SPFCTV",2021-06-08 15:53:53.295
Loop Infinito,Watched COMENTANDO A WWDC 2021 AO VIVO!,2021-06-08 15:53:40.680
Camisa 21,Watched CINCUM: O QUE ACONTECE COM O INTERNACIONAL?,2021-06-08 01:58:12.874
Desimpedidos,Watched Cara a cara gigante!,2021-06-07 16:00:47.963
República Coisa de Nerd,Watched O RETORNO DO CAVALEIRO DERROTADO!,2021-06-07 15:59:18.439
adsense,Watched https://www.youtube.com/watch?v=UhH00MIxWuA,2021-06-07 15:58:09.106
Meteoro Brasil,Watched DESTRINCHANDO O PRONUNCIAMENTO DE BOLSONARO,2021-06-06 18:03:20.968
OneFootball Brasil,Watched Lançamentos 21/22! Os PIORES UNIFORMES da temporada! | Parte 1,2021-06-06 17:54:33.845
Negra Li,Watched Negra Li - Comando (Clipe Oficial),2021-06-06 17:50:28.216
Meteoro Brasil,Watched VAI TER COPA AMÉRICA?,2021-06-06 17:34:19.893
Diva Depressão,Watched #ParadaSPaoVivo - 25ª Parada do Orgulho LGBT+ de São Paulo,2021-06-06 17:33:44.228
Desimpedidos,Watched QUEM LEVA O BRASILEIRÃO EM 2021?,2021-06-05 15:47:08.350
Cid Cidoso,Watched ZAP ou CALOTE com LUCAS INUTILISMO- MELHORES MOMENTOS,2021-06-05 15:44:39.085
Porta dos Fundos,Watched FILHO SEQUESTRADO,2021-06-05 15:43:10.994
Northon Domingues,Watched AHSOKA VS DARTH VADER - O CONFRONTO entre MESTRE E APRENDIZ!  - ANÁLISE,2021-06-05 15:43:05.896
Hashtag Programação,Watched Integrar Python e Power BI (Como usar Python no Power BI),2021-06-05 15:00:09.774
Camisa 21,Watched HADYBALA DETONA CUCA E DISPARA CONTRA JORGE JESUS NO BTS,2021-06-04 16:00:16.310
Camisa 21,Watched CHARLES DO BRONX x BOLÍVIA MAROMBA | QUEM LEVA A MELHOR?- CHARLES DO BRONX NO BTS,2021-06-04 15:41:32.329
adsense,Watched https://www.youtube.com/watch?v=21e6CL2cvOc,2021-06-03 15:29:04.490
Camisa 21,Watched PIKACHU DERROTA HULK NA ESTREIA DO BRASILEIRÃO!,2021-06-02 15:53:31.008
MOV,Watched Hermes e Renato descrevem personagens da cultura pop no #RabiscoFalado |  @RABISCO  na MOV,2021-06-02 15:43:46.910
Caue Moura,Watched VACILAÇÕES M0RTAIS 💀 #PAUTATOP,2021-06-01 16:21:58.537
"SOCIOLOGY - Luiz Valério P. Trindade, PhD","Watched Comunidades, Algoritmos e Ativismos Digitais| Capítulo 2",2021-06-01 15:49:49.404
Karen Bachini,Watched TESTANDO OS LANÇAMENTOS DA MANU GAVASSI COM O BOTICÁRIO - Karen Bachini,2021-05-31 21:56:16.223
