,Canal,Nome vídeo,Data
205,Zurubabel,Watched Curso de Pandas - Python (Aula 1.8) - Renomeando colunas usando rename,2021-06-20 19:13:09.633
206,Base dos Dados,Watched Workshop: SQL + BigQuery,2021-06-20 18:02:37.938
207,Programe Python,Watched Python PANDAS - Formatar casas decimais e números,2021-06-20 17:46:02.426
208,Henrique e Juliano,Watched Henrique e Juliano - ONLINE  - DVD Ao Vivo No Ibirapuera,2021-06-20 14:38:03.631
209,Mari Fernandez,"Watched Mari Fernandez - NÃO, NÃO VOU (Passa Lá em Casa) - Video Oficial",2021-06-20 14:34:29.655
210,Matheus Fernandes,Watched Matheus Fernandes e Dilsinho - Baby Me Atende (Clipe Oficial),2021-06-20 14:30:24.105
211,a banda mais bonita da cidade,Watched oração . a banda mais bonita da cidade (c/ leo fressato),2021-06-20 14:29:54.829
212,Zimbra,Watched VIVA - Zimbra,2021-06-20 14:29:37.897
213,Esteban Tavares,Watched Esteban - Segunda Feira (ao vivo),2021-06-20 14:27:10.990
214,HYPE SONGS RECORDS,Watched Xamã e Agnes - A Bela e a Fera 2 (Ao Vivo - Live Bagua),2021-06-20 14:22:31.467
215,PineappleStormTV,Watched Poesia Acústica #2 - Sobre Nós - Delacruz I Maria I Ducon I Luiz Lins I Diomedes I Bk' I Kayuá,2021-06-20 14:21:33.907
216,PineappleStormTV,"Watched Poesia Acústica #8 - Amor e Samba -Cesar Mc, Elana, Kayuá, Projota, Cynthia Luz, Froid, Mv Bill, Bob",2021-06-20 14:21:12.118
217,PineappleStormTV,"Watched Poesia Acústica #10 -Recomeçar -Mc Cabelinho, Orochi, JayA Luuck, Pk, Black, Delacruz, Bk’, Ludmilla",2021-06-20 14:21:03.122
218,PineappleStormTV,Watched Poesia Acústica #5  -Teu Popô Remix - Hodari | Ducon | Chris | Kayuá | Don L | Luccas Carlos | Maria,2021-06-20 14:20:01.002
219,Rap Box,Watched Orgânico - Pelé Milflows | SóCiro | Olívia | San Joe - Baila Mais [ Prod. Leo Casa 1 ],2021-06-20 14:14:19.237
220,Base dos Dados,Watched Workshop: SQL + BigQuery,2021-06-19 19:51:47.291
221,Bagua Records,Watched Xamã Feat. Agnes Nunes - Escorpião (Prod. NeoBeats),2021-06-19 17:45:07.729
222,PineappleStormTV,Watched Poesia Acústica #3 - Capricorniana - Sant | Tiago Mac | Lord | Maria | Choice,2021-06-19 17:37:46.902
223,MARIAOficialVEVO,Watched MARIA - Perdão,2021-06-19 17:33:40.440
224,Rap Box,Watched Orgânico - Pelé Milflows | SóCiro | Olívia | San Joe - Baila Mais [ Prod. Leo Casa 1 ],2021-06-19 17:26:56.673
225,Escola de Dados,Watched Acessando dados ambientais com Python,2021-06-19 03:53:01.922
226,FACE UFMG,Watched DemoPop Workshop,2021-06-19 03:52:38.909
227,TEDx Talks,Watched Quem sou eu? Sobre identidade e recomeços | Juliana Goes | TEDxSantos,2021-06-19 03:43:26.584
228,Storytellers,Watched Cases e ideias de como aplicar Storytelling.,2021-06-18 21:54:32.983
229,FACE UFMG,Watched DemoPop Workshop,2021-06-18 21:54:30.156
230,Programação Dinâmica,Watched CONVERTENDO uma coluna de um DataFrame do Pandas | Dica de Pandas #1,2021-06-18 21:51:52.048
231,Base dos Dados,Watched Workshop: SQL + BigQuery,2021-06-18 21:49:07.062
232,iFood Universo,Watched Esquenta W42 - Trilha Data & AI,2021-06-18 17:43:02.848
233,GoConqr em Português,Watched Tutorial GoConqr -  Mapa Mental,2021-06-18 03:36:01.913
234,FACE UFMG,Watched DemoPop Workshop,2021-06-17 20:14:02.640
235,Anibal Azevedo,Watched Módulo 8 - Aula 3 - Upload e leitura de arquivo da sua máquina para o Google Colab,2021-06-17 17:49:45.242
236,Programação Dinâmica,Watched Como usar o Google COLAB para ANALISAR DADOS? | Handshake #08,2021-06-17 17:49:15.426
237,Pretty Printed,Watched Group By in Flask-SQLAlchemy,2021-06-17 02:56:26.420
238,codigofacilito,Watched Mini Curso SQLAlchemy con Python 6 Eliminar registros,2021-06-17 01:48:30.674
239,codigofacilito,Watched Mini Curso SQLAlchemy con python 5  Actualizar registros,2021-06-17 01:22:04.472
240,codigofacilito,Watched Mini Curso SQLAlchemy con Python 4 Consultas unicas,2021-06-17 01:01:57.596
241,Hospital Israelita Albert Einstein,Watched Devo tomar a vacina da gripe durante a pandemia do novo coronavírus?,2021-06-16 02:34:24.017
242,Guia da Monografia,Watched Guia DEFINITIVO: Como Fazer um TÓPICO FRASAL PERFEITO,2021-06-15 22:48:58.622
